workers,cores,runs,time_mean_s,bab_nodes_mean,speedup,relative_cores,amdahl_estimated_serial_fraction_f,amdahl_max_speedup_1_over_f
3,4,1,1897.596487464,17781.0,1.0,1.0,0.006359398351232319,157.24757984475383
7,8,1,1095.912694693,17783.0,1.7315215862113695,2.0,0.006359398351232319,157.24757984475383
15,16,1,589.896755054,17811.0,3.2168281503604663,4.0,0.006359398351232319,157.24757984475383
31,32,1,253.53202207,17795.0,7.48464226321705,8.0,0.006359398351232319,157.24757984475383
63,64,1,141.176113171,17735.0,13.441342482389569,16.0,0.006359398351232319,157.24757984475383
127,128,1,77.249786066,17773.0,24.564423852808446,32.0,0.006359398351232319,157.24757984475383
255,256,1,43.696715323,17797.0,43.426524704139254,64.0,0.006359398351232319,157.24757984475383
511,512,1,27.958047928,17727.0,67.87299643919546,128.0,0.006359398351232319,157.24757984475383
1023,1024,1,19.002206981,17789.0,99.86189969203977,256.0,0.006359398351232319,157.24757984475383
